rank;size;batch_size;total_loading_time;total_computing_time;total_time
3;4;128;0.2767341136932373;71.4204113483429;71.69714546203613
0;4;128;0.21998023986816406;71.48187232017517;71.70185256004333
2;4;128;0.3719358444213867;71.51596879959106;71.88790464401245
1;4;128;0.23708868026733398;71.44491219520569;71.68200087547302
0;4;128;0.22954416275024414;71.59221267700195;71.8217568397522
2;4;128;0.36424684524536133;71.65169167518616;72.01593852043152
3;4;128;0.22340631484985352;71.55953192710876;71.78293824195862
1;4;128;0.2794969081878662;71.5291678905487;71.80866479873657
0;4;128;0.19066739082336426;71.6232795715332;71.81394696235657
3;4;128;0.16605424880981445;71.66771268844604;71.83376693725586
2;4;128;0.1727151870727539;71.66976618766785;71.8424813747406
1;4;128;0.19059228897094727;71.65508437156677;71.84567666053772
0;5;128;0.29381775856018066;58.758485317230225;59.052303075790405
2;5;128;0.22103118896484375;59.067628383636475;59.28865957260132
3;5;128;0.1461188793182373;58.92682194709778;59.072940826416016
1;5;128;0.20001506805419922;58.880250453948975;59.080265522003174
4;5;128;0.25449037551879883;59.338074684143066;59.592565059661865
1;5;128;0.14621973037719727;59.12756156921387;59.273781299591064
3;5;128;0.12985849380493164;59.145684480667114;59.275542974472046
2;5;128;0.14631247520446777;59.234272480010986;59.380584955215454
4;5;128;0.1825871467590332;59.18914270401001;59.37172985076904
0;5;128;0.15246915817260742;59.29943084716797;59.451900005340576
3;5;128;0.1474928855895996;58.61994743347168;58.76744031906128
0;5;128;0.13312482833862305;58.60915160179138;58.742276430130005
1;5;128;0.21180081367492676;58.595640897750854;58.80744171142578
2;5;128;0.17877650260925293;58.629918575286865;58.80869507789612
4;5;128;0.15807104110717773;58.78869867324829;58.94676971435547
0;6;128;0.17221856117248535;50.34234309196472;50.51456165313721
1;6;128;0.1879589557647705;50.314573526382446;50.50253248214722
2;6;128;0.22922086715698242;50.769278049468994;50.99849891662598
3;6;128;0.13495731353759766;50.409850120544434;50.54480743408203
5;6;128;0.1065969467163086;50.385388135910034;50.49198508262634
4;6;128;0.24877643585205078;50.75719237327576;51.00596880912781
0;6;128;0.1745295524597168;50.54062104225159;50.715150594711304
1;6;128;0.1318509578704834;50.56674408912659;50.69859504699707
2;6;128;0.24411916732788086;50.72232270240784;50.96644186973572
3;6;128;0.11217594146728516;50.59727501869202;50.7094509601593
4;6;128;0.29154300689697266;50.65978145599365;50.951324462890625
5;6;128;0.16524291038513184;50.530866861343384;50.696109771728516
1;6;128;0.19322896003723145;50.47449588775635;50.66772484779358
0;6;128;0.18949079513549805;50.44971776008606;50.63920855522156
3;6;128;0.14906668663024902;50.51844596862793;50.66751265525818
2;6;128;0.10723376274108887;50.53752422332764;50.644757986068726
5;6;128;0.12479329109191895;50.54087710380554;50.66567039489746
4;6;128;0.09634160995483398;50.570263147354126;50.66660475730896
0;1;256;0.9865217208862305;64.83636474609375;65.82288646697998
0;1;256;1.5344290733337402;64.55065321922302;66.08508229255676
0;1;256;1.2238214015960693;65.26255774497986;66.48637914657593
0;2;256;0.6954402923583984;276.7960388660431;277.4914791584015
1;2;256;0.5640990734100342;276.9263434410095;277.49044251441956
1;2;256;0.7084698677062988;274.4911541938782;275.1996240615845
0;2;256;0.7427241802215576;274.48114228248596;275.2238664627075
1;2;256;0.5294418334960938;276.73749256134033;277.2669343948364
0;2;256;0.6298305988311768;276.64034056663513;277.2701711654663
2;3;256;0.32828330993652344;185.55904173851013;185.88732504844666
1;3;256;0.3398439884185791;185.59863376617432;185.9384777545929
0;3;256;0.3552427291870117;185.56869888305664;185.92394161224365
1;3;256;0.3541419506072998;185.2849519252777;185.639093875885
2;3;256;0.3170046806335449;185.3866376876831;185.70364236831665
0;3;256;0.366788387298584;185.318354845047;185.68514323234558
0;3;256;0.44920897483825684;185.47714233398438;185.92635130882263
1;3;256;0.41162538528442383;185.58476161956787;185.9963870048523
2;3;256;0.3554420471191406;185.59811973571777;185.9535617828369
2;4;256;0.25429868698120117;139.86265087127686;140.11694955825806
0;4;256;0.31075263023376465;139.78803038597107;140.09878301620483
3;4;256;0.2680788040161133;139.82476949691772;140.09284830093384
1;4;256;0.2829256057739258;139.8010959625244;140.08402156829834
0;4;256;0.3756082057952881;140.1891303062439;140.56473851203918
1;4;256;0.34895777702331543;140.19770097732544;140.54665875434875
2;4;256;0.45334935188293457;140.31814622879028;140.77149558067322
3;4;256;0.2721717357635498;140.2862467765808;140.55841851234436
0;4;256;0.38779163360595703;140.4137303829193;140.80152201652527
1;4;256;0.35535526275634766;140.42440795898438;140.77976322174072
2;4;256;0.5234775543212891;140.50760865211487;141.03108620643616
3;4;256;0.27524733543395996;140.49882125854492;140.77406859397888
3;5;256;0.24803662300109863;117.35885953903198;117.60689616203308
2;5;256;0.2843761444091797;117.3987045288086;117.68308067321777
1;5;256;0.27219438552856445;117.41366529464722;117.68585968017578
0;5;256;0.2702319622039795;117.46097779273987;117.73120975494385
4;5;256;0.1916060447692871;117.53886985778809;117.73047590255737
3;5;256;0.400787353515625;116.94688057899475;117.34766793251038
2;5;256;0.26792240142822266;117.08106517791748;117.3489875793457
4;5;256;0.2679874897003174;117.10975885391235;117.37774634361267
1;5;256;0.36940836906433105;117.05121421813965;117.42062258720398
0;5;256;0.3126485347747803;117.06724619865417;117.37989473342896
1;5;256;0.31456637382507324;117.25951981544495;117.57408618927002
0;5;256;0.23475050926208496;117.29943680763245;117.53418731689453
4;5;256;0.24453425407409668;117.30166625976562;117.54620051383972
2;5;256;0.24344110488891602;117.40573763847351;117.64917874336243
3;5;256;0.25714802742004395;117.65744590759277;117.91459393501282
0;6;256;0.19074511528015137;97.68095588684082;97.87170100212097
1;6;256;0.17806124687194824;97.65741300582886;97.8354742527008
2;6;256;0.24608087539672852;97.70537495613098;97.95145583152771
4;6;256;0.20305681228637695;97.70279836654663;97.90585517883301
5;6;256;0.15627384185791016;97.66228294372559;97.8185567855835
3;6;256;0.190964937210083;97.68462085723877;97.87558579444885
2;6;256;0.18757247924804688;98.1480712890625;98.33564376831055
0;6;256;0.18601369857788086;98.14188241958618;98.32789611816406
1;6;256;0.2135941982269287;98.12954115867615;98.34313535690308
3;6;256;0.18287897109985352;98.168625831604;98.35150480270386
4;6;256;0.18121027946472168;98.14984679222107;98.33105707168579
